"GEOID","NAME","percent_post_hs","black","ai_ak","asian","nh_pi","other","2_plus_othr","white","percent_bipoc","percent_h_l","med_income","percent_aid","percent_blw_pov"
"080130121053","Block Group 3, Census Tract 121.05, Boulder County, Colorado",0.898291293734744,0,0.203168044077135,0.0458242467920219,0,0,0.519917244340157,0.770318615946822,0.229681384053178,0.0337662337662338,0.688934016177992,0,0.028527655459879
"080130121054","Block Group 4, Census Tract 121.05, Boulder County, Colorado",0.781144781144781,0,0,0.0278514088535391,0,0,0.541164712125119,0.624270482674007,0.375729517325993,0.468388851121686,0.343150638471061,0.412660091067916,0.109792994225353
"080130121061","Block Group 1, Census Tract 121.06, Boulder County, Colorado",0.860759493670886,0,0,0.0842099620041949,0,0,0,0.926483092603227,0.073516907396773,0.0430769230769231,0.196459156505961,0,0.167599230634726
"080130121062","Block Group 2, Census Tract 121.06, Boulder County, Colorado",0.698972099853157,0,0,0.047054782121407,0,0,0.00308006984455994,0.612263551504959,0.387736448495041,0.536170212765957,0.336960945581577,0.120452020723351,0.0929341742594755
"080130121071","Block Group 1, Census Tract 121.07, Boulder County, Colorado",0.602199816681943,0.172235535775419,0,0.0281254616180019,0,0.518543046357616,0,0.624537963419874,0.375462036580126,0.508695652173913,0.127571266258543,0.542586862435788,0.0729335881509795
"080130121072","Block Group 2, Census Tract 121.07, Boulder County, Colorado",0.715315315315315,0,0,0.0398796867959912,0,0,0.369099673037382,0.686799919432003,0.313200080567997,0.421591397849462,0.389552137563805,0,0.0937764158918005
"080130121073","Block Group 3, Census Tract 121.07, Boulder County, Colorado",0.78657487091222,0,0,0,0,0.880540826762801,0,0.729652410034355,0.270347589965645,0.455640744797371,0.348611134663976,0,0.0141003574738515
"080130122011","Block Group 1, Census Tract 122.01, Boulder County, Colorado",0.860940695296523,0.159093065174082,0,0,0,0,0.0194346575734195,0.901889883018438,0.0981101169815621,0.085025817555938,0.146369278773593,0.517090654777515,0.145032248302472
"080130122012","Block Group 2, Census Tract 122.01, Boulder County, Colorado",0.682382133995037,0.740087798759668,0,0.011661327088421,0.27212389380531,0.039090429584481,0.0305326687688604,0.809294137789962,0.190705862210038,0.0958702064896755,0.269794298699317,0.23780487804878,0.380328373691206
"080130122013","Block Group 3, Census Tract 122.01, Boulder County, Colorado",0.908015768725361,0,0,0.0518415721283481,0,0,0.0296922435578877,0.844932725866269,0.155067274133731,0.138692712246431,0.277717953500992,0,0.264665086979137
"080130122041","Block Group 1, Census Tract 122.04, Boulder County, Colorado",0.830238726790451,0.599565865077676,0.678484366719661,0.0489535061675492,0,0.544392339359227,0,0.555512552486226,0.444487447513774,0.55372972972973,0.148438162424325,0.315077206527461,0.136235715504008
"080130122042","Block Group 2, Census Tract 122.04, Boulder County, Colorado",0.670886075949367,0.00588970758673007,0,0,0,0,0.0025181837756817,0.913054960417547,0.0869450395824529,0.13800178412132,0.0463082297478336,0.129536828528233,0.749077327962543
"080130122043","Block Group 3, Census Tract 122.04, Boulder County, Colorado",0.844139650872818,0,0,0.0271572467344267,0,0.111264950706457,0,0.863271399366033,0.136728600633967,0.15936188077246,0.269539927758653,0.19663452448478,0.19554626733468
"080130122051","Block Group 1, Census Tract 122.05, Boulder County, Colorado",0.865714285714286,0,0,0.0222461278334478,0,0,0,0.895537173274026,0.104462826725974,0.0938835666912306,0.204645661279655,0.0956953484490857,0.178524864965543
"080130122052","Block Group 2, Census Tract 122.05, Boulder County, Colorado",0.651444547996272,0,0,0.122035759634854,0,0.137792022287542,0.530863214479294,0.61251916624005,0.38748083375995,0.388146167557932,0.0549822788244671,0.112345358940098,0.426617500146912
"080130122061","Block Group 1, Census Tract 122.06, Boulder County, Colorado",0.810143042912874,0.0202216300297838,0,0.16400537172859,0,0,0,0.645079389904497,0.354920610095503,0.199081163859112,0.0481905747087453,0.0613385598141696,0.614821690571009
